question,intent,entity,answer
I want to buy a laptop.,e_commerce_search,laptop,"intent: e_commerce_search, entities: laptop"
Show me mobile phones under 10000.,e_commerce_search,mobile under 10000,"intent: e_commerce_search, entities: mobile under 10000"
Where can I buy a camera online?,e_commerce_search,camera,"intent: e_commerce_search, entities: camera"
Suggest a budget-friendly mobile phone.,e_commerce_search,mobile,"intent: e_commerce_search, entities: mobile"
I need to buy a new laptop.,e_commerce_search,laptop,"intent: e_commerce_search, entities: laptop"
Show me mobile phones under 15000.,e_commerce_search,mobile under 15000,"intent: e_commerce_search, entities: mobile under 15000"
Where can I buy a drone online?,e_commerce_search,drone,"intent: e_commerce_search, entities: drone"
I want to buy a new pair of shoes.,e_commerce_search,shoes,"intent: e_commerce_search, entities: shoes"
Show me laptops with i7 processors.,e_commerce_search,"laptops,  i7 processors","intent: e_commerce_search, entities: laptops,  i7 processors"
Where can I buy a gaming console?,e_commerce_search,gaming console,"intent: e_commerce_search, entities: gaming console"
I want to buy a new camera.,e_commerce_search,camera,"intent: e_commerce_search, entities: camera"
Show me mobile phones under 25000.,e_commerce_search,mobile under 25000,"intent: e_commerce_search, entities: mobile under 25000"
Where can I buy handmade jewelry online?,e_commerce_search,handmade jewelry,"intent: e_commerce_search, entities: handmade jewelry"
I want to buy a new pair of headphones.,e_commerce_search,headphones,"intent: e_commerce_search, entities: headphones"
Show me laptops with 16GB RAM.,e_commerce_search,"laptops,  16GB RAM","intent: e_commerce_search, entities: laptops,  16GB RAM"
Where can I buy gardening tools online?,e_commerce_search,gardening tools,"intent: e_commerce_search, entities: gardening tools"
I want to buy a new smartwatch.,e_commerce_search,smartwatch,"intent: e_commerce_search, entities: smartwatch"
Show me mobile phones under 30000.,e_commerce_search,mobile under 30000,"intent: e_commerce_search, entities: mobile under 30000"
Where can I buy handmade crafts online?,e_commerce_search,handmade crafts,"intent: e_commerce_search, entities: handmade crafts"
I want to buy a new tablet.,e_commerce_search,tablet,"intent: e_commerce_search, entities: tablet"
Show me laptops with SSD storage.,e_commerce_search,"laptops,  SSD storage","intent: e_commerce_search, entities: laptops,  SSD storage"
Where can I buy pet supplies online?,e_commerce_search,pet supplies,"intent: e_commerce_search, entities: pet supplies"
I want to buy a new bicycle.,e_commerce_search,bicycle,"intent: e_commerce_search, entities: bicycle"
Show me smartphones with 5G capability.,e_commerce_search,"smartphones,  5G capability","intent: e_commerce_search, entities: smartphones,  5G capability"
Where can I buy handmade clothing online?,e_commerce_search,handmade clothing,"intent: e_commerce_search, entities: handmade clothing"
I want to buy a new smart TV.,e_commerce_search,smart TV,"intent: e_commerce_search, entities: smart TV"
Show me laptops with touch screen feature.,e_commerce_search,"laptops,  touch screen","intent: e_commerce_search, entities: laptops,  touch screen"
Where can I buy home decor items online?,e_commerce_search,home decor,"intent: e_commerce_search, entities: home decor"
I want to buy a new pair of sunglasses.,e_commerce_search,sunglasses,"intent: e_commerce_search, entities: sunglasses"
Show me tablets with long battery life.,e_commerce_search,"tablets,  long battery life","intent: e_commerce_search, entities: tablets,  long battery life"
Where can I buy handmade artworks online?,e_commerce_search,handmade artworks,"intent: e_commerce_search, entities: handmade artworks"
I want to buy a new gaming laptop.,e_commerce_search,gaming laptop,"intent: e_commerce_search, entities: gaming laptop"
Show me smartphones with high-quality cameras.,e_commerce_search,"smartphones,  high-quality cameras","intent: e_commerce_search, entities: smartphones,  high-quality cameras"
Where can I buy pet food online?,e_commerce_search,pet food,"intent: e_commerce_search, entities: pet food"
I want to buy a new fitness tracker.,e_commerce_search,fitness tracker,"intent: e_commerce_search, entities: fitness tracker"
Show me laptops with 14-inch displays.,e_commerce_search,"laptops,  14-inch displays","intent: e_commerce_search, entities: laptops,  14-inch displays"
Where can I buy handmade soaps online?,e_commerce_search,handmade soaps,"intent: e_commerce_search, entities: handmade soaps"
I want to buy a new pair of running shoes.,e_commerce_search,running shoes,"intent: e_commerce_search, entities: running shoes"
Show me laptops with dedicated graphics cards.,e_commerce_search,"laptops,  dedicated graphics cards","intent: e_commerce_search, entities: laptops,  dedicated graphics cards"
Where can I buy organic food online?,e_commerce_search,organic food,"intent: e_commerce_search, entities: organic food"
I want to buy a new digital camera.,e_commerce_search,digital camera,"intent: e_commerce_search, entities: digital camera"
