line_number,question,variant_id,status,result,ground_truth,answer,f1_score
"0","Hi","variant_0","Completed","intent: general_greetings","intent: general_greetings","intent: general_greetings","1"
"1","Hello","variant_0","Completed","intent: general_greetings","intent: general_greetings","intent: general_greetings","1"
"2","What's the weather like in Mumbai today?","variant_0","Completed","intent: weather_check
entities: Mumbai","intent: weather_check, entities: Mumbai","intent: weather_check
entities: Mumbai","1"
"3","Will it rain in Chennai?","variant_0","Completed","intent: weather_check
entities: Chennai","intent: weather_check, entities: Chennai","intent: weather_check
entities: Chennai","1"
"4","What is the weather forecast for Kolkata?","variant_0","Completed","intent: weather_check
entities: Kolkata","intent: weather_check, entities: Kolkata","intent: weather_check
entities: Kolkata","1"
"5","Can you tell me the latest news?","variant_0","Completed","intent: news_check","intent: news_check","intent: news_check","1"
"6","What are the news headlines today?","variant_0","Completed","intent: news_check","intent: news_check","intent: news_check","1"
"7","I want to buy a laptop.","variant_0","Completed","intent: e_commerce_search
entities: laptop","intent: e_commerce_search, entities: laptop","intent: e_commerce_search
entities: laptop","1"
"8","Show me mobile phones under 10000.","variant_0","Completed","intent: e_commerce_search
entities: mobile phones, 10000","intent: e_commerce_search, entities: mobile under 10000","intent: e_commerce_search
entities: mobile phones, 10000","0.8333333333333334"
"9","Where can I buy a camera online?","variant_0","Completed","intent: e_commerce_search
entities: camera","intent: e_commerce_search, entities: camera","intent: e_commerce_search
entities: camera","1"
"10","Tell me a story about a dragon.","variant_0","Completed","intent: story_telling
entities: a dragon","intent: story_telling, entities: dragon","intent: story_telling
entities: a dragon","1"
"11","Once upon a time,  there was a brave knight.","variant_0","Completed","I'm sorry, could you please clarify what you want me to do with this sentence?","intent: story_telling, entities: knight","I'm sorry, could you please clarify what you want me to do with this sentence?","0"
"12","Who is the first president of the USA?","variant_0","Completed","intent: general_knowledge
entities: the first president of the USA","intent: general_knowledge, entities: USA,  president","intent: general_knowledge
entities: the first president of the USA","0.8333333333333333"
"13","What is the capital of France?","variant_0","Completed","intent: general_knowledge
entities: France","intent: general_knowledge, entities: France,  capital","intent: general_knowledge
entities: France","0.888888888888889"
"14","What is your name?","variant_0","Completed","intent: any_other
entities: None","intent: any_other","intent: any_other
entities: None","0.6666666666666666"
"15","What time does the nearest restaurant open?","variant_0","Completed","intent: any_other
entities: nearest restaurant, open, time. However, it seems like the intent is about finding the opening time of the restaurant, so I can suggest a better way of asking this question like ""What are the opening hours of the nearest restaurant?"" to make the intent clearer.","intent: any_other, entities: restaurant","intent: any_other
entities: nearest restaurant, open, time. However, it seems like the intent is about finding the opening time of the restaurant, so I can suggest a better way of asking this question like ""What are the opening hours of the nearest restaurant?"" to make the intent clearer.","0.17777777777777776"
"16","Tell me a joke.","variant_0","Completed","intent: any_other
entities: None (This intent is not covered in the above categories)","intent: any_other","intent: any_other
entities: None (This intent is not covered in the above categories)","0.2857142857142857"
"17","Can you recommend a good book to read?","variant_0","Completed","intent: any_other
entities: None (this query is too general)","intent: any_other, entities: book","intent: any_other
entities: None (this query is too general)","0.46153846153846156"
"18","What is the temperature in Bangalore?","variant_0","Completed","intent: weather_check
entities: Bangalore","intent: weather_check, entities: Bangalore","intent: weather_check
entities: Bangalore","1"
"19","What's the news on technology?","variant_0","Completed","intent: news_check
entities: technology","intent: news_check, entities: technology","intent: news_check
entities: technology","1"
"20","Suggest a budget-friendly mobile phone.","variant_0","Completed","intent: e_commerce_search
entities: budget-friendly mobile phone","intent: e_commerce_search, entities: mobile","intent: e_commerce_search
entities: budget-friendly mobile phone","0.8"
"21","Tell me a story about an adventure.","variant_0","Completed","intent: story_telling
entities: adventure","intent: story_telling, entities: adventure","intent: story_telling
entities: adventure","1"
"22","Who discovered gravity?","variant_0","Completed","intent: general_knowledge
entities: gravity","intent: general_knowledge, entities: gravity","intent: general_knowledge
entities: gravity","1"
"23","What is the population of China?","variant_0","Completed","intent: general_knowledge
entities: China","intent: general_knowledge, entities: China,  population","intent: general_knowledge
entities: China","0.888888888888889"
"24","How are you?","variant_0","Completed","intent: general_greetings","intent: general_greetings","intent: general_greetings","1"
"50","Who was the first person to reach the South Pole?","variant_0","Completed","intent: general_knowledge
entities: first person, South Pole","intent: general_knowledge, entities: South Pole","intent: general_knowledge
entities: first person, South Pole","0.8333333333333333"
"51","What is the national flower of India?","variant_0","Completed","intent: general_knowledge
entities: national flower of India","intent: general_knowledge, entities: India,  national flower","intent: general_knowledge
entities: national flower of India","0.923076923076923"
"52","What's your favorite color?","variant_0","Completed","intent: any_other","intent: any_other","intent: any_other","1"
"53","How far is the nearest grocery store from here?","variant_0","Completed","intent: e_commerce_search
entities: nearest grocery store","intent: any_other, entities: grocery store","intent: e_commerce_search
entities: nearest grocery store","0.7272727272727272"
"54","Do you have any hobbies?","variant_0","Completed","intent: any_other
entities: none","intent: any_other","intent: any_other
entities: none","0.6666666666666666"
"55","What's the weather like in Sydney today?","variant_0","Completed","intent: weather_check
entities: Sydney","intent: weather_check, entities: Sydney","intent: weather_check
entities: Sydney","1"
"56","Will there be a thunderstorm in Mumbai?","variant_0","Completed","intent: weather_check
entities: Mumbai, thunderstorm","intent: weather_check, entities: Mumbai","intent: weather_check
entities: Mumbai, thunderstorm","0.888888888888889"
"57","Tell me the latest business news.","variant_0","Completed","intent: news_check
entities: business news","intent: news_check, entities: business","intent: news_check
entities: business news","0.888888888888889"
"58","Any updates on the fashion world?","variant_0","Completed","intent: news_check
entities: fashion world","intent: news_check, entities: fashion","intent: news_check
entities: fashion world","0.888888888888889"
"59","I want to buy a new camera.","variant_0","Completed","intent: e_commerce_search
entities: a new camera","intent: e_commerce_search, entities: camera","intent: e_commerce_search
entities: a new camera","0.888888888888889"
"60","Show me mobile phones under 25000.","variant_0","Completed","intent: e_commerce_search
entities: mobile phones, 25000","intent: e_commerce_search, entities: mobile under 25000","intent: e_commerce_search
entities: mobile phones, 25000","0.8333333333333334"
"61","Where can I buy handmade jewelry online?","variant_0","Completed","intent: e_commerce_search
entities: handmade jewelry, online","intent: e_commerce_search, entities: handmade jewelry","intent: e_commerce_search
entities: handmade jewelry, online","0.9090909090909091"
"62","Tell me a story about a brave warrior.","variant_0","Completed","intent: story_telling
entities: brave warrior","intent: story_telling, entities: brave warrior","intent: story_telling
entities: brave warrior","1"
"63","Once upon a time,  there was a wise old owl.","variant_0","Completed","intent: story_telling
entities: wise old owl","intent: story_telling, entities: owl","intent: story_telling
entities: wise old owl","0.8"
"64","Who wrote the novel ""To Kill a Mockingbird""?","variant_0","Completed","intent: general_knowledge
entities: ""To Kill a Mockingbird"" novel, author or writer may be an implied entity. The system should clarify if it needs clarification about the entity.","intent: general_knowledge, entities: novel,  To Kill a Mockingbird","intent: general_knowledge
entities: ""To Kill a Mockingbird"" novel, author or writer may be an implied entity. The system should clarify if it needs clarification about the entity.","0.4666666666666667"
