question,intent,entity,answer
Hi,general_greetings,,"intent: general_greetings"
Hello,general_greetings,,"intent: general_greetings"
What's the weather like in Mumbai today?,weather_check,Mumbai,"intent: weather_check, entities: Mumbai"
Will it rain in Chennai?,weather_check,Chennai,"intent: weather_check, entities: Chennai"
What is the weather forecast for Kolkata?,weather_check,Kolkata,"intent: weather_check, entities: Kolkata"
Can you tell me the latest news?,news_check,,"intent: news_check"
What are the news headlines today?,news_check,,"intent: news_check"
I want to buy a laptop.,e_commerce_search,laptop,"intent: e_commerce_search, entities: laptop"
Show me mobile phones under 10000.,e_commerce_search,mobile under 10000,"intent: e_commerce_search, entities: mobile under 10000"
Where can I buy a camera online?,e_commerce_search,camera,"intent: e_commerce_search, entities: camera"
Tell me a story about a dragon.,story_telling,dragon,"intent: story_telling, entities: dragon"
"Once upon a time,  there was a brave knight.",story_telling,knight,"intent: story_telling, entities: knight"
Who is the first president of the USA?,general_knowledge,"USA,  president","intent: general_knowledge, entities: USA,  president"
What is the capital of France?,general_knowledge,"France,  capital","intent: general_knowledge, entities: France,  capital"
What is your name?,any_other,,"intent: any_other"
What time does the nearest restaurant open?,any_other,restaurant,"intent: any_other, entities: restaurant"
Tell me a joke.,any_other,,"intent: any_other"
Can you recommend a good book to read?,any_other,book,"intent: any_other, entities: book"
What is the temperature in Bangalore?,weather_check,Bangalore,"intent: weather_check, entities: Bangalore"
What's the news on technology?,news_check,technology,"intent: news_check, entities: technology"
Suggest a budget-friendly mobile phone.,e_commerce_search,mobile,"intent: e_commerce_search, entities: mobile"
Tell me a story about an adventure.,story_telling,adventure,"intent: story_telling, entities: adventure"
Who discovered gravity?,general_knowledge,gravity,"intent: general_knowledge, entities: gravity"
What is the population of China?,general_knowledge,"China,  population","intent: general_knowledge, entities: China,  population"
How are you?,general_greetings,,"intent: general_greetings"
What's up?,general_greetings,,"intent: general_greetings"
Is it going to snow in Shimla?,weather_check,Shimla,"intent: weather_check, entities: Shimla"
How's the weather in Hyderabad?,weather_check,Hyderabad,"intent: weather_check, entities: Hyderabad"
Any news about the stock market?,news_check,stock market,"intent: news_check, entities: stock market"
What's happening in the entertainment world?,news_check,entertainment,"intent: news_check, entities: entertainment"
I need to buy a new laptop.,e_commerce_search,laptop,"intent: e_commerce_search, entities: laptop"
Show me mobile phones under 15000.,e_commerce_search,mobile under 15000,"intent: e_commerce_search, entities: mobile under 15000"
Where can I buy a drone online?,e_commerce_search,drone,"intent: e_commerce_search, entities: drone"
Tell me a story about a magical land.,story_telling,magical land,"intent: story_telling, entities: magical land"
"Once upon a time,  there was a little fairy.",story_telling,fairy,"intent: story_telling, entities: fairy"
"Who wrote the play ""Romeo and Juliet""?",general_knowledge,"play,  Romeo and Juliet","intent: general_knowledge, entities: play,  Romeo and Juliet"
What is the currency of Japan?,general_knowledge,"Japan,  currency","intent: general_knowledge, entities: Japan,  currency"
What is your purpose?,any_other,,"intent: any_other"
Where is the nearest gas station?,any_other,gas station,"intent: any_other, entities: gas station"
Can you sing a song?,any_other,,"intent: any_other"
"Good morning,  how are you doing today?",general_greetings,,"intent: general_greetings"
What's the weather forecast for London?,weather_check,London,"intent: weather_check, entities: London"
Will it be sunny in Los Angeles tomorrow?,weather_check,Los Angeles,"intent: weather_check, entities: Los Angeles"
Tell me the latest political news.,news_check,political,"intent: news_check, entities: political"
Any updates on the sports world?,news_check,sports,"intent: news_check, entities: sports"
I want to buy a new pair of shoes.,e_commerce_search,shoes,"intent: e_commerce_search, entities: shoes"
Show me laptops with i7 processors.,e_commerce_search,"laptops,  i7 processors","intent: e_commerce_search, entities: laptops,  i7 processors"
Where can I buy a gaming console?,e_commerce_search,gaming console,"intent: e_commerce_search, entities: gaming console"
Tell me a story about a haunted house.,story_telling,haunted house,"intent: story_telling, entities: haunted house"
"Once upon a time,  there was a mischievous leprechaun.",story_telling,leprechaun,"intent: story_telling, entities: leprechaun"
Who was the first person to reach the South Pole?,general_knowledge,South Pole,"intent: general_knowledge, entities: South Pole"
What is the national flower of India?,general_knowledge,"India,  national flower","intent: general_knowledge, entities: India,  national flower"
What's your favorite color?,any_other,,"intent: any_other"
How far is the nearest grocery store from here?,any_other,grocery store,"intent: any_other, entities: grocery store"
Do you have any hobbies?,any_other,,"intent: any_other"
What's the weather like in Sydney today?,weather_check,Sydney,"intent: weather_check, entities: Sydney"
Will there be a thunderstorm in Mumbai?,weather_check,Mumbai,"intent: weather_check, entities: Mumbai"
Tell me the latest business news.,news_check,business,"intent: news_check, entities: business"
Any updates on the fashion world?,news_check,fashion,"intent: news_check, entities: fashion"
I want to buy a new camera.,e_commerce_search,camera,"intent: e_commerce_search, entities: camera"
Show me mobile phones under 25000.,e_commerce_search,mobile under 25000,"intent: e_commerce_search, entities: mobile under 25000"
Where can I buy handmade jewelry online?,e_commerce_search,handmade jewelry,"intent: e_commerce_search, entities: handmade jewelry"
Tell me a story about a brave warrior.,story_telling,brave warrior,"intent: story_telling, entities: brave warrior"
"Once upon a time,  there was a wise old owl.",story_telling,owl,"intent: story_telling, entities: owl"
"Who wrote the novel ""To Kill a Mockingbird""?",general_knowledge,"novel,  To Kill a Mockingbird","intent: general_knowledge, entities: novel,  To Kill a Mockingbird"
What is the currency of Australia?,general_knowledge,"Australia,  currency","intent: general_knowledge, entities: Australia,  currency"
What's your favorite food?,any_other,,"intent: any_other"
How can I get to the nearest subway station?,any_other,subway station,"intent: any_other, entities: subway station"
Can you tell me a fun fact?,any_other,,"intent: any_other"
What's the weather like in Dubai?,weather_check,Dubai,"intent: weather_check, entities: Dubai"
Will it snow in New York next week?,weather_check,New York,"intent: weather_check, entities: New York"
Tell me the latest health and wellness news.,news_check,health and wellness,"intent: news_check, entities: health and wellness"
Any updates on the science and technology world?,news_check,science and technology,"intent: news_check, entities: science and technology"
I want to buy a new pair of headphones.,e_commerce_search,headphones,"intent: e_commerce_search, entities: headphones"
Show me laptops with 16GB RAM.,e_commerce_search,"laptops,  16GB RAM","intent: e_commerce_search, entities: laptops,  16GB RAM"
Where can I buy gardening tools online?,e_commerce_search,gardening tools,"intent: e_commerce_search, entities: gardening tools"
Tell me a story about a magical forest.,story_telling,magical forest,"intent: story_telling, entities: magical forest"
"Once upon a time,  there was a kind-hearted queen.",story_telling,queen,"intent: story_telling, entities: queen"
Who invented the telephone?,general_knowledge,telephone,"intent: general_knowledge, entities: telephone"
What is the national animal of Canada?,general_knowledge,Canada,"intent: general_knowledge, entities: Canada"
What's your favorite movie?,any_other,,"intent: any_other"
Is there a pharmacy nearby?,any_other,pharmacy,"intent: any_other, entities: pharmacy"
Can you tell me a riddle?,any_other,,"intent: any_other"
What's the weather like in Tokyo today?,weather_check,Tokyo,"intent: weather_check, entities: Tokyo"
Will it rain in Singapore tomorrow?,weather_check,Singapore,"intent: weather_check, entities: Singapore"
Tell me the latest environmental news.,news_check,environmental,"intent: news_check, entities: environmental"
Any updates on the automotive world?,news_check,automotive,"intent: news_check, entities: automotive"
I want to buy a new smartwatch.,e_commerce_search,smartwatch,"intent: e_commerce_search, entities: smartwatch"
Show me mobile phones under 30000.,e_commerce_search,mobile under 30000,"intent: e_commerce_search, entities: mobile under 30000"
Where can I buy handmade crafts online?,e_commerce_search,handmade crafts,"intent: e_commerce_search, entities: handmade crafts"
Tell me a story about a brave astronaut.,story_telling,brave astronaut,"intent: story_telling, entities: brave astronaut"
"Once upon a time,  there was a mischievous elf.",story_telling,elf,"intent: story_telling, entities: elf"
Who painted the Mona Lisa?,general_knowledge,Mona Lisa,"intent: general_knowledge, entities: Mona Lisa"
What is the currency of Brazil?,general_knowledge,"Brazil,  currency","intent: general_knowledge, entities: Brazil,  currency"
What's your favorite book?,any_other,,"intent: any_other"
How can I get to the nearest post office?,any_other,post office,"intent: any_other, entities: post office"
Can you tell me a fun joke?,any_other,,"intent: any_other"
What's the weather like in Paris today?,weather_check,Paris,"intent: weather_check, entities: Paris"
Will it be a sunny day in Sydney tomorrow?,weather_check,Sydney,"intent: weather_check, entities: Sydney"
Tell me the latest technology news.,news_check,technology,"intent: news_check, entities: technology"
Any updates on the entertainment world?,news_check,entertainment,"intent: news_check, entities: entertainment"
I want to buy a new tablet.,e_commerce_search,tablet,"intent: e_commerce_search, entities: tablet"
Show me laptops with SSD storage.,e_commerce_search,"laptops,  SSD storage","intent: e_commerce_search, entities: laptops,  SSD storage"
Where can I buy pet supplies online?,e_commerce_search,pet supplies,"intent: e_commerce_search, entities: pet supplies"
Tell me a story about a mysterious treasure.,story_telling,mysterious treasure,"intent: story_telling, entities: mysterious treasure"
"Once upon a time,  there was a legendary warrior princess.",story_telling,warrior princess,"intent: story_telling, entities: warrior princess"
Who was the first person to walk on the moon?,general_knowledge,moon,"intent: general_knowledge, entities: moon"
What is the national bird of India?,general_knowledge,"India,  national bird","intent: general_knowledge, entities: India,  national bird"
What's your favorite sport?,any_other,,"intent: any_other"
Where can I find a good coffee shop nearby?,any_other,coffee shop,"intent: any_other, entities: coffee shop"
Can you tell me an interesting fact about space?,any_other,space,"intent: any_other, entities: space"
What's the weather like in Beijing today?,weather_check,Beijing,"intent: weather_check, entities: Beijing"
Will it rain in London tomorrow?,weather_check,London,"intent: weather_check, entities: London"
Tell me the latest finance and economy news.,news_check,finance and economy,"intent: news_check, entities: finance and economy"
Any updates on the medical world?,news_check,medical,"intent: news_check, entities: medical"
I want to buy a new bicycle.,e_commerce_search,bicycle,"intent: e_commerce_search, entities: bicycle"
Show me smartphones with 5G capability.,e_commerce_search,"smartphones,  5G capability","intent: e_commerce_search, entities: smartphones,  5G capability"
Where can I buy handmade clothing online?,e_commerce_search,handmade clothing,"intent: e_commerce_search, entities: handmade clothing"
Tell me a story about a cunning fox.,story_telling,cunning fox,"intent: story_telling, entities: cunning fox"
"Once upon a time,  there was a magical genie.",story_telling,genie,"intent: story_telling, entities: genie"
Who was the inventor of the light bulb?,general_knowledge,light bulb,"intent: general_knowledge, entities: light bulb"
What is the currency of Russia?,general_knowledge,"Russia,  currency","intent: general_knowledge, entities: Russia,  currency"
What's your favorite hobby?,any_other,,"intent: any_other"
Is there a gas station around here?,any_other,gas station,"intent: any_other, entities: gas station"
Can you tell me a fascinating historical fact?,any_other,,"intent: any_other"
What's the weather like in New Delhi today?,weather_check,New Delhi,"intent: weather_check, entities: New Delhi"
Will it be a sunny day in San Francisco tomorrow?,weather_check,San Francisco,"intent: weather_check, entities: San Francisco"
Tell me the latest fashion and beauty news.,news_check,fashion and beauty,"intent: news_check, entities: fashion and beauty"
Any updates on the gaming world?,news_check,gaming,"intent: news_check, entities: gaming"
I want to buy a new smart TV.,e_commerce_search,smart TV,"intent: e_commerce_search, entities: smart TV"
Show me laptops with touch screen feature.,e_commerce_search,"laptops,  touch screen","intent: e_commerce_search, entities: laptops,  touch screen"
Where can I buy home decor items online?,e_commerce_search,home decor,"intent: e_commerce_search, entities: home decor"
Tell me a story about a courageous knight.,story_telling,courageous knight,"intent: story_telling, entities: courageous knight"
"Once upon a time,  there was a magical unicorn.",story_telling,unicorn,"intent: story_telling, entities: unicorn"
"Who wrote the play ""Hamlet""?",general_knowledge,"play,  Hamlet","intent: general_knowledge, entities: play,  Hamlet"
What is the currency of Mexico?,general_knowledge,"Mexico,  currency","intent: general_knowledge, entities: Mexico,  currency"
What's your favorite TV show?,any_other,,"intent: any_other"
How can I get to the nearest bank?,any_other,bank,"intent: any_other, entities: bank"
Can you tell me a mind-boggling riddle?,any_other,,"intent: any_other"
What's the weather like in Singapore today?,weather_check,Singapore,"intent: weather_check, entities: Singapore"
Will it rain in Tokyo tomorrow?,weather_check,Tokyo,"intent: weather_check, entities: Tokyo"
Tell me the latest travel and leisure news.,news_check,travel and leisure,"intent: news_check, entities: travel and leisure"
Any updates on the food and restaurant world?,news_check,food and restaurant,"intent: news_check, entities: food and restaurant"
I want to buy a new pair of sunglasses.,e_commerce_search,sunglasses,"intent: e_commerce_search, entities: sunglasses"
Show me tablets with long battery life.,e_commerce_search,"tablets,  long battery life","intent: e_commerce_search, entities: tablets,  long battery life"
